name_normalized,term,reason
dubey katra,dubey,locality name (Varanasi)
1/87 haripada dutta lane rajendra prasad colony,dutta,street name
datta bhel,dutta,"Dattatreya deity name, southern usage"
datta tiffanies,dutta,"Dattatreya deity name, southern usage"
datta tiffanies branch 2,dutta,"Dattatreya deity name, southern usage"
mitra da dhaba,mitra,"Punjabi mitra = friend, not the Bengali surname"
mitra da junction,mitra,"Punjabi mitra = friend, not the Bengali surname"
the mitra da dhaba,mitra,"Punjabi mitra = friend, not the Bengali surname"
chawnsan chef bbq mukherjee nagar,mukherjee,locality name (Delhi)
"domino's pizza | harish mukherjee rd, kolkata",mukherjee,street name
faasos mukherjee nagar,mukherjee,locality name (Delhi)
mandarin oak mukherjee nagar,mukherjee,locality name (Delhi)
sweet truth mukherjee nagar,mukherjee,locality name (Delhi)
mall road mc saxena chauraha lucknow,saxena,"crossroads named after person, address"
